ID ANIMAL,NOMBRE ANIMAL,NOMBRE_CIENTIFICO
254,lagartija magallanica,Liolaemus magellanicus
255,lagartija de Maldonado,Liolaemus maldonadae
256,lagartija de los montes,Liolaemus monticola
257,lagartija de cabeza negra,Liolaemus nigriceps
258,lagartija de mancha,Liolaemus nigromaculatus
259,lagartija negro verdosa,Liolaemus nigroviridis
260,lagarto nitido,Liolaemus nitidus 
261,lagartija ornamentada,Liolaemus ornatus
262,lagartija pantera,Liolaemus pantherinus
263,lagartija de Patricia Iturra,LIolaemus patriciaiturrae
264,lagartija de Paulina,Liolaemus paulinae
265,lagartija,Liolaemus pictus
266,lagartija de Plate,Liolaemus platei
267,lagarto de Poconchile,Liolaemus poconchilensis
268,lagartija lemniscata falsa,Liolaemus pseudolemniscatus
269,lagartija leopardo del Ramon,Liolaemus ramonensis
270,dragon de Reiche,Liolaemus reichei
271,,Liolaemus robertoi
272,lagartija de Rosenmann,Liolaemus rosenmanni
273,lagartija de Schmidt,Liolaemus schmidti
274,lagartija de Schröeder,Liolaemus schroederi
275,lagarto rubricado,Liolaemus signifer
276,lagartija de Silva,Liolaemus silvai
277,dragon de Stolzmann,Liolaemus stolzmanni
278,lagartija esbelta,Liolaemus tenuis
279,lagarto de Lo Valdes,Liolaemus valdesianus
280,lagartija,Liolaemus vallecurensis
281,jagartija de Veloso,Liolaemus velosoi
282,lagartija de Walker,Liolaemus walkeri
283,lagarto de Zapallar,Liolaemus zapallarensis
284,foca cangrejera,Lobodon carcinophagus
285,chungungo,Lontra felina
286,huillin,Lontra provocax
287,huroncito patagonico,Lyncodon patagonicus
288,Ballena jorobada,Megaptera novaeangliae
289,ballena picuda de De Blainville,Mesoplodon densirostris
290,ballena picuda de Gray,Mesoplodon grayi
291,ballena picuda de Hector,Mesoplodon hectori
292,ballena picuda de Layard,Mesoplodon layardi
293,cuy de la patagonia,Microcavia australis
294,corredor de Atacama,Microlophus atacamensis
295,corredor de Arica,Microlophus heterolepis
296,corredor de Mamina,Microlophus maminensis
297,corredor de cuatro bandas,Microlophus quadrivittatus
298,corredor de Tarapaca,Microlophus tarapacensis
299,corredor de Teresa,Microlophus theresioides
300,corredor de Arica,Microlophus yanezi
301,huaiquil- roncador,Micropogonias furnieri
302,elefante marino,Mirounga leonina
303,lamprea de agua dulce,Mordacia lapicida
304,lisa,Mugil cephalus
305,coipo,Myocastor coypus
306,sapo variegado,Nannophryne variegata
307,bagre grande,Nematogenys inermis
308,cazamoscas chocolate,Neoxolmis rufiventris
309,golondrina de mar de garganta blanca,Nesofregetta fuliginosa
310,zarapito boreal,Numenius borealis
311,golondrina de mar chica,Oceanites gracilis
312,golondrina de mar de collar,Oceanodroma hornbyi
313,golondrina de mar negra,Oceanodroma markhami
314,degu de los matorrales,Octodon bridgesi 
315,degu costino,Octodon lunatus
316,cauque del norte,Odontesthes brevianalis
317,pejerrey de Juan Fernandez,Odontesthes gracilis
318,pejerrey,Odontesthes hatcheri
319,cauque del Itata,Odontesthes itatanum
320,cauque  ,Odontesthes mauleanum
321,caracol terrestre Omalonyx,Omalonyx gayana 
322,foca de Ross,Omatophoca rossi
323,orca,Orcinus orca
324,gato montes andino,Oreailurus jacobita
325,karachi- orestias,Orestias agassii
326,karachi- orestias,Orestias ascotanensis
327,karachi- orestias,Orestias chungarensis
328,karachi- orestias,Orestias laucaensis
329,karachi- orestias,Orestias parinacotensis
330,karachi,Orestias piacotensis
331,lobo marino comun- lobo de un pelo,Otarya flavescens
332,aguila pescadora,Pandion haliaetus
333,camaron de vega,Parastacus nicoleti
334,camaron de vega,Parastacus pugnax
335,serpiente marina,Pelamis platurus
336,yunco,Pelecanoides garnotii
337,perca negra,Percichthys melanops
338,perca trucha,Percichthys trucha
339,carmelita,Percilia gillissi
340,carmelita de Concepcion,Percilia irwini
341,ave del tropico de cola roja,Phaeton rubricauda
342,guanay,Phalacrocorax bougainvillii
343,lile,Phalacrocorax gaimardi
344,culebra de cola larga,Philodryas chamissonis   
345,culebra de cola larga,Philodryas simonsii
346,culebra de cola larga de Camarones,Philodryas tachymenoides  
347,marsopa espinosa,Phocoena spinipinnis
348,parina grande,Phoenicoparrus andinus
349,parina chica,Phoenicoparrus jamesi
350,flamenco chileno,Phoenicopterus chilensis
351,salamanqueja del norte grande,Phyllodactylus gerrhopygus
352,salamanqueja,Phylodactylus heterurus
353,matuasto,Phymaturus flagellifer
354,cachalote,Physeter macrocephalus
355,cuervo de pantano,Plegadis chihi
356,cuervo de pantano de la puna,Plegadis ridgwayi
357,sapo de cuatro ojos del sur,Pleurodema bufonina
358,sapo de cuatro ojos del norte,Pleurodema marmorata
359,sapito de cuatro ojos,Pleurodema thaul
360,chorlo de Magallanes,Pluvianellus socialis
361,grunidor de Alvaro,Pristidactylus alvaroi
362,grunidor del sur,Pristidactylus torquatus
363,grunidor de Valeria,Pristidactylus valeriae
364,grunidor de El Volcan,Pristidactylus volcanensis
365,zorro colorado de Tierra del Fuego-  zorro culpeo de Tierra del Fuego,Pseudalopex culpaeus lycoides
366,zorro colorado- zorro culpeo,Pseudalopex culpaeus
367,zorro de Chiloe,Pseudalopex fulvipes
368,zorro chilla o gris,Pseudalopex griseus
369,pajaro amarillo,Pseudocolopteryx flaviventris
370,falsa orca,Pseudorca crassidens
371,fardela de Cook,Pterodroma coocki
372,fardela blanca de Mas a Tierra,Pterodroma defilippiana
373,fardela blanca de Juan Fernandez,Pterodroma externa
374,fardela de Mas Afuera,Pterodroma longirostris
375,fardela negra de Juan Fernandez,Pterodroma neglecta
376,caracol terrestre Ptychodon,Ptychodon oculta 
377,caracol terrestre Ptychodon,Ptychodon skottsberg 
378,pudu,Pudu pudu
379,fardela blanca,Puffinus creatopus
380,fardela de Pascua,Puffinus nativitatis
381,puma,Puma concolor
382,caracol terrestre Punctum,Punctum conicum 
383,caracol terrestre Punctum,Punctum depressum 
384,piden austral,Rallus antarcticus
385,nandu,Rhea pennata pennata
386,nandu,Rhea pennata tarapacensis
387,sapo de rulo,Rhinella arunco
388,sapo de Atacama,Rhinella atacamensis
389,sapo,Rhinella rubropunctata
390,sapo espinoso ,Rhinella spinulosa
391,ranita de Darwin,Rhinoderma darwini
392,ranita ,Rhinoderma rufum
393,comadrejita trompuda,Rhyncholestes raphanurus
394,becacina pintada,Rostratula semicollaris
395,camaron de rio del sur,Samastacus spinifrons
396,picaflor de Juan Fernandez,Sephanoides fernandensis
397,cururo,Spalacopus cyanus
398,pingüino de Humboldt,Spheniscus humboldti
399,delfin manchado esbelto,Stenella attenuata
400,delfin listado,Stenella coeruleoalba
401,delfin de pico largo,Stenella longirostris
402,delfin de diente aspero,Steno bredanensis
403,gaviotin chico,Sterna lorata
404,concon,Strix rufipes
405,caracol terrestre Succinea,Succinea cryptica 
406,caracol terrestre Succinea,Succinea cumingi 
407,caracol terrestre Succinea,Succinea fernandi 
408,caracol terrestre Succinea,Succinea fragilis 
409,caracol terrestre Succinea,Succinea mamillata
410,caracol terrestre Succinea,Succinea masafuerae
411,caracol terrestre Succinea,Succinea pinguis
412,caracol terrestre Succinea,Succinea rubicunda
413,caracol terrestre Succinea,Succinea semiblobosa
414,caracol terrestre Succinea,Succinea texta
415,piquero,Sula variegata
416,quetru volador,Tachyeres patagonicus
417,culebra de cola corta,Tachymenis chilensis  
418,culebra peruana,Tachymenis peruviana
419,ballena picuda de Shepherd,Tasmacetus shepherdi
420,sapo,Telmatobius chusmisensis
421,sapo de Danko,Telmatobius dankoi
422,sapo,Telmatobius fronteriensis
423,sapo,Telmatobius halli
424,sapo,Telmatobius marmoratus
425,sapo de Pefaur,Telmatobius pefauri
426,sapo peruano,Telmatobius peruvianus
427,sapo de Philippi,Telmatobius philippii
428,sapo de Zapahuira,Telmatobius zapahuirensis
429,sapo Austral,Telmatobufo australis
430,sapo de Bullock,Telmatobufo bullocki
431,sapo hermoso,Telmatobufo venustus
432,bandurria de la puna,Theristicus branickii
433,bandurria,Theristicus melanopis
434,llaca o Marmosa,Thylamys elegans
435,perdiz austral,Tinamotis ingoufi
436,perdiz de la puna,Tinamotis pentlandii
437,caracol terrestre Tornatellina,Tornatellina aperta 
438,caracol terrestre Tornatellina,Tornatellina bilamellata
439,caracol terrestre Tornatellina,Tornatellina callosa 
440,caracol terrestre Tornatellina,Tornatellina minuta 
441,caracol terrestre Tornatellina,Tornatellina plicosa
442,caracol terrestre Tornatellina,Tornatellina reclusiana
443,bagrecito,Trichomycterus areolatus
444,bagrecito,Trichomycterus chiltoni
445,bagrecito,Trichomycterus chungarensis
446,bagrecito,Trichomycterus rivulatus
447,bagrecito,Trichomyterus laucaensis
448,delfin nariz de botella,Tursiops truncatus
449,vicuna,Vicugna vicugna
450,camaron,Virilastacus araucanis
451,condor,Vultur gryphus
452,piche,Zaedyus pichiy
453,ballena picuda de Cuvier,Ziphius cavirostris
